Puan	Yorum
0	fiyat cok ama cok yüksek
0	Telefon boştayken şarjı 1-2 gün gidiyor,İçindenkulaklık çıkmıyor, Orijinal kulaklık almama rağmenFm radyo çalışmıyor...Şu an aciliyetten dolayı iade edemiyorum
0	arkadaşlar daha kaliteli bi ürün bekliyordum size tavsiyem bunu almamaniz
0	kamera kotu
0	fiyat olarak çok yüksek sözde birde yerli bunun yerine meizu x8 alınır hem fiyat çok uygun ve hem de özellik ve performans bakımından önde bir telefon
0	Ürünü aldım ancak sesi karşıya az gidiyor. İade için gönderdim alamayacaklarını söylediler. Resmen ürünü üzerinize atıyorlar. Tavsiye etmiyorum kesinlikle.
0	hiç güncelleme yapmıyor almayın 
0	bixby tuşu ile başınız belaya girebilir. benbixby tuşu sebebiyle 2. el olarak satıcam macburen. çünkü kazara dokunduğunuzda karşınıza türkçesi bile olmayan bixby özelliği ekranı kaplıyor ve her seferinde bundan geri tuşuyla çıkmanız gerekiyor. tuşu iptal edemedim servisiyle görüştüm. tuş iptal edilemiyormuş. yani içini açıp tuşu söktüresim geldi ama bu sefer su geçirmemezlik özelliği iptal olur diye onu da yapmadım. birde ekran koruyucu bulamazsınız bunu söyleyim. çok para verdim ekran koruyucu için ama bulamadım.
0	kısaca 5 para etmez. Boş android ile geliyor. Kendi geliştirdikleri hiçbir şey yok. Ekran dışarı taşmış durumda, her yere düştüğün de ekran kırılıyor.USB şarj soketi çok cabuk arıza yapıyor.7. ayın sonunda şarj soketi ,power entegresi değişti. Üzerine bir damla su gelse dokunmatik sapıtıyor. silseniz dahi düzgün çalışmıyor, kapatıp açtığınızda düzeliyor. Dış sesi çok az. K6 modeli ile bu modeli yanyana getirip aynı parçayı çaldığnızda telefondan ses çıkmadığını düşündürecek kadar az. Diğer sıkıntı ise, biri ile konuşurken, kulağınızı göremediği zaman ekrana kapatmıyor. konuşmayı bitirdiğinizde yanağınızla olmadık programları çalıştırdığınzı görüyorsunuz.Kısaca paranıza yazık.Bu yorumlarıda 2 tane alıp 1 senedir kullanan biri olarak yapıyorum.
0	Ağustos 2017 de yapılan yorumlara istinaden aldım.. ben aldığımda bu kadar kötü yorum yoktu telefon ile ilgili okusm almazdım.. aslında ilk 6 ay telefon çok iyiydi. sonrasında tam bir baş derdi oldu... garanti kapsamında defalarca servise gitti geldi ama her seferinde burada yazılan tüm sorunları pil sarj ekran kırlması donma vb. yaşamış olmama rağmen telefon da sorun yok olarak geri geldi 6 yıl kullandığım s3 ümü o serviste olduğunda kullanıyorum ne kadar iyiymiş meğerse aklınız varsa uzak durun.
0	Şebekeye bir sıkıntı var, sinyal yok, sim kart yeri paslanmış
0	kamera ve performans huawei de kagit uzerinde kaliyor kirin 710 iyi olacak dediler ama hala degisen birsey yok snapdragon a gore hala cok geride kaliyor
0	oyun oynayacaklara kesinlikle tavsiye etmem kamera performansına gelirsek yarı fiyatına aynı resmi çeken telefonlar var
0	Telefon en düşük sisteme karşın çok yüksek fiyata geliyor almak mantıksız 
0	Guncelleme gelmicek artik almayin huawei
0	fiyatı çok pahalı alınmaz. Bu paralara daha iyi telefonlar alınır. Türkiye garantili markalı telefonlar alınır.
0	KARGO TAM BİR FACİA 28/06/2018 DE VERDİĞİM SİPARİŞ HALA YOLDA GÖRÜNÜYOR SANKİ FİZANDAN GELİYOR.BİR DAHA ARAS KARGOYU KESİNLİKLE KULLANMİCAM
0	5 aydır kullanıyorum, mecburen satmaya kalksam alan yok telefon şehir dışında kırsalda yaşıyorsanız birini arayana kadar sizi kahreder çekmiyor burada uzun uzun yazmaya gerek yok para verilip alınacak bir telefon kesinlikle değil bulaşmayın.
0	Sıfır telefon drup durup donuyor ne oluyor hicbirsey anlamadim valla.. 
0	Ürünü bugün aldım.Isınma Problemi var. Pil ısısı telefonu açınca 38 derece oluyor hemen. Isınma daha çok ekranın en alt kısmında yuvarlak simgesinin orada ve sarj yaparken değil. ne yapacağımı bilmiyorum. İlk günden servise vereceğim. Bu durum beni üzdü.
0	Persembe siparis ettim pazartesi geldi
0	Telefon özellikleri çok iyi karanlık ortamda fotoğraf çekme özelliği kötü ama telefon kendi kendine ses çıkarmaya başladı şarj aleti cikardihim zaman çıkan sesi arasıra kendiliğinden çıkarıyor geri göndereceğim inşallah degistirirler
0	+Ekrans10 dan daha kötü +Kamerageceleyin çok yapay. Tek iyi yanı zoom kesinlikle 112 dxomark hak etmiyor +video iyileştirülmiş ama hala iyi değil -stereo ses dahş yok-4k 60fps yok-video yine kötü-mikrofon iyileşmiş ama hala kötü-abartılı fiyatı -amiral gemisine yakışmayan antutu ve ghz değeriSonuç:Sadece kamera ise al değilse DİREK HUAWEİ YE YAKLAŞMA PİŞMAN OLURSUNStereo ses yok4k 60fps yok
0	Persembe günü ürünü satın almama rağmen 3 gündür elime ulaşmadı.
0	arkadaşalar siz telefonu alırken neye bakıyorsunuz bilmiyorum ama bakılması gereken en büyük şey resim çeken bir insansanız kameraya bakın, kamera pixel olarak ne kadar büyürse çekilen fotoğrafların boyutu o kadar artar buda sizde telefon hafızası ihtiyacı ve uzun kullanım için batarya kapasitesi gerektirir, şipşak resim çeken biriyseniz ram miktarınız en az 6 yada 8 gb olmalı yoksa telefon kameraları açarken donup reset atıverir maazallah, parayı kazanmak için harcadığınız vakti düşünün telefon alırken bu vakiyleri düşünün değer mi diye ...
0	Telefonu aldım bir hevesle açtım kamerası sürekli hata verdi bir türlü açılmadı.Servis yazılımla çözmeye çalıştı fakat olmadı.Telefon genel manada kamera harici güzel.Kamerası çok yetersiz.
0	type-c kullanmıyo sırf o yüzden almadım yıl 2018 hâla micro usb
0	Bu telefonu aldığıma pişman oldum kameradayken arka kısmında ısınma oluyor ve şarjıda çabuk bitiyor aldığıma pişman oldum
0	Yazılım olarak abartmadan söylemek gerekse çöp. Batarya kötü kamera orta sınıf oyunlarda grafik hataları var. Bazen oha bu neden oldu dediğiniz çok şeyle karşıkaşırsınız kısacası ben pişman oldum
0	Telefonu dün sipariş ettim 4 aralık teslim tarihi görünüyor bu nasıl süper hızlı gönderi müşteri hizmetlerini aradığımda sürekli 30. Sıradayım sürekli otuz kişi mi bekliyor hatta anlamadım
0	Telefonu sırf saati için alıyorum, saati ben kullanacağım telefonu hediye edeceğim. Tavsiye ediyorum. 
0	Ürünün sim kart takılan yeri deforme olmuş çıktı.
0	Arka tasarım cidden vacia işletim sistemi desen zaten yerlerde sürünüyor yazık Gidin Venus Z20 alın daha iyi ve daha kaliteli.! /
0	üründe ghost screen yani hayalet ekran problemi var bence almayın
0	Ürünü 1 haftadır kullanıyorum iPhone 8 kullanicisiydim bu telefonu çok övdüler birde android kullanayım dedim aldım. Herşey çok güzel gerçekten fiyatını hakeden bir telefon ama beni hayal kırıklığına uğratan şu şebeke sorunu oyunlarda pinkten oynayamiyorum internet birden gidiyor ve bir daha gelmiyor. Telefonum açık ama arayan ulaşamiyor. Bu telefonu almanızı hiç tavsiye etmem bende satmayı düşünüyorum mobil veri açık 10 GB internet var ama oyun dahi oynayamiyorum çok büyük bir hata kesinlikle almayın. 
0	ürün çok iyi ama mikrofon sesi cok iyi değil sesiniz karşıya cok az gidiyor...buna rağmen şarjı çok iyi şık bir telefon.....
0	lenavoya sakın bulaşmayın. ararsın telefon çalmaz, ararsın açık olduğu halde ulaşılamaz. ararsın bi çalar bi çalmaz. ben aldım bin pişman oldum. sakın almayın
0	bu siteye her girişimde şu telefona yorum yapasım geliyor parasının değeri olmayan kamerayla işi olmayan sabırlı olan solak yada sağ baş parmağı uzun olanlar alsın ,rehber uygulaması bile yavaş telefonda
0	ürünü yaklasik 1sene once aldim sarj duzensizses kendi kendine azalip yükseliyorher kapatip açmada rehberde cogu numara kayboluyoren nefret ettigim huyu ise video izlenmez hale geldi ne zaman video acsam YouTube Facebook tan fark etmez donuyor anında
0	Meizu x8, gm9 pro, mi8 lite çok daha iyi telefonlar.
0	Günde iki_üç kez şarja takmak isteyen, arama sesini duymak için kulağına sokmak isteyen ve telefonu tüm gün ultra pil modunda kullanmayı gözüne kestiren varsa hemen alsın.ha birde yamulursa ve ekranda çıtlamar duyarsanız tadından yenmez
0	yıl olmuş 2000 hale bixby geliştiremedi kocaman dugmeyide koymuş kenara ikide bir hello hello başka bisey yok s9plus kullanıyorum 2 kere ekrani değişti yanmaktan başka markalara bakın takıntılı olmayın 3.ve 4.çü sıradaki takipleri bunlardan çok çok üstün inanın markacı olmayın zaten kılıf takıyorsunuz senden başkası bilmiyor adını
0	kötü
0	Turkcell sim kartıyla calismayan ilginç bir telefon
0	ben hayatimda ilk kez böyle bir telefon aldım. sadece ve sadece 1 tane zil sesi var
0	çok yavaş yanında gönderilen şarj aleti çalışmıyor
0	Çok güzel bir telefon. Tanıtımlarını izledim, test etme imkanım da oldu. Ram ve hafıza haricinde gerçekten kaliteli bir şey. Almanızı tavsiye ederim.
0	ELİME HIZLI ULAŞTI GAYET KULLANIŞLI KARIŞIK MENÜSÜ YOK.BENCE TEK EKSİĞİ WİFİ OLMAMASI AMA KENDİNDENDE 3 G SİYLE BAĞLANABİLMEKTE.KUTUSUNDAN İLGİNÇTİR KULAKLIK ÇIKMADI BUNA ŞAŞIRDIM.BENCE TUŞLU TELEFON MODELLERİNİN EN İYİSİ VE EN ŞIKI.
0	Ürün güzel kargo sıfır . ürün bir hafta sonra kargonun şubesine kendim gitmek suretiyle elime geçti kargo hizmeti sıfır r
0	6 gün oldu daha gelmedi .
0	parmak izi okuyucu yok internet hızı 4.5g yaziyor ama 4gbazen uygulamadan kendi cikiyor
0	Aslında bu telefonlar için sar değerleri bilgileri zorunlu yapılması lazım ve her ilanda yer alması lazım. Xiaomi güzel telefon yalnız sar değerleri malesef çok yüksek yani sürekli kulağınızdaysa 1 senede beyin tümörü yapar..Samsungun bu modeline gelirsekSar değeri Baş olarak : 0.248Vücut olarak : 1.591Vücut olarak biraz yüksek geldi değerleri ?
0	Bataryası çok kötü, gün boyu yanınızda powerbank yada şarj aletiyle gezmeniz gerekiyor. mesela sabah saat 07:30 da şarjdan çıkardım. saat şuanda 10:15 ve şarjım %64 yaptığım tek şey serviste instragramda takılmak...
0	Şimdi elime geldi gerçekten kalitesiz sesi için aldim fakat hoparlör açikken bile kulagina koydugunda duyulmuyor gercekten kötü tavsiye etmem birazdan iade talebi oluşturacagim
0	Ekran cok büyük wifi sorunu var ve telefonda ses kalitesi vasat boğuk geliyor acil güncelleme gerekli intagram uygulamasındada sorun var yeni telefon için baya sorunlu
0	Artıları Fiyat ve özellik olarak iyi şarj olarak iyi ancak telefonu 4 aydır kullanıyorum telefon kasıyor donuyor. Veri bağlantısı açılınca 10 20 saniye kendine gelemiyor güncellemelerle düzeltilmesi gerekiyor
0	Fotoğraf çekmeyi seven biriyseniz kamerası 20 megapiksel ama hakkını vermiyor kamerası kötü görüntü kalitesi iyi olsun isterseniz P20 litealım derim 16 megapiksel olduğu halde bundan çok güzel çok kaliteli fotoğraf çekiyor kamera yönünden bu telefonu aldığıma pişmanım satabilirsem P20 lite alacam sizede şiddetle tavsiye ederim...
0	Bunu almak yerine Samsung galaxy a50 alsaydim
0	17 temmuzda elime geçti satıcı veya kargo sorunsuz.. Ancak telefon bugün 10 Ağustos . Hoporloru bozuldu + aç kapa yapınca uygulamalar siliniyor + kapalı uygulamalar açıkmis gibi hata veriyor, rezalet yahu yaziklar olsun verdiğim paraya..
0	kesinlikle tavsiye etmiyorum tlf da şarj la ilgili sıkıntı yaşanıyor
0	telefonun dokunmatik hassasiyeti gün geçtikçe düşüyor online bir oyunda takılıp kalıyor
0	Ürünü pazar günü sipariş ettim cuma günü elime geçti aras kargo gibi berbat bir firmayla çalıştıkları için soğudum.!
0	Mağazadan yana hiçbir sorun yok alışveriş yapabilirsiniz tavsiye ederim. Fakat cihaz çok vasat berbat bir cihaz sadece benim cihazımdamı sorun var diye mağazadan baktım onlarda aynı. Sadece sonsuz ekran oluşu güzel onun dışında galaxy ace ayarında telefon tavsiye etmiyorum yavaş çalışıyor ve kamerası iyi değil
0	teslimat hızlı, paketleme güzel. gelgelelim asıl probleme, ben telefondan çok bişey beklemeyen biri olarak aldım bu cihazı, oyun oynamam, uygulama olarak iki sosyal medya, iki de alisveris sitesi var yüklü durumda. bu cihazla iki ay sonra onları bile kullanamiyorsunuz donma ve kasma sebebiyle. az daha butcenizi zorlayıp iyi bişey alın bence.
0	Telerfon güzeldi ama yeni gelen guncellemeyle çöp oldu.Telefondan kasmalar yaşiyorum akicilik gitti telefondaki
0	NFC olmaması direkt telefonu almama sebebi. bu fiyatlarda nfc li çok daha iyi rakipleri var.
0	Ürünüm sipariş kargo ve teslim de çok başarılı telefonun bir problemi yok şu anlıklakin dış tarafı soyunmaya başladı sanki 3-5 yıllık gibi bir deforme oldu
0	Ürünü 1 ay kullanamadan bozuldu yenisini verecez dediler kutusuz bir ürün verdiler sıfır ürün diye bilmiyorum sıfır ürün mü ama ürün çok ısınıyor bozulan telefon da aynı şekilde çok ısınıyor du en fazla yarım saat 1 saat kullanabiliyorum pişman oldum aldığıma bu arada ürünü İnternetten almadım burda görünce yazmak istedim
0	Telefonu alalı 4 5 ay oldu dışındaki boyası kalktı rezalet kalitede. Aşırı ısınıyor havaların sıcak olmasından dolayı ısınıp telefon korumaya geçiyor. Arayüzünde takılmalar var işletim sisteminde hatalar oluyor. Bataryası ölmeye başladı şimdiden tavsiye etmiyorum.
0	Şarjı hiç bir şeyle uğraşmamama rağmen 1 gün anca gidiyor. Hızına ve fotoğraf kalitesine sözüm yok. Gayet başarılı. Alınabilir telefon.
